STT3	P39007
RPL30	P14120
HEM2	P05373
RNA15	P25299
ALG13	P53178
RPT6	Q01939
OLE1	P21147
DUO1	P53168
ALG2	P43636
MNP1	P53163
HSF1	P10961
MPS2	P53159
NBP35	P52920
NUP145	P49687
SPC105	P53148
SRM1	P21827
USE1	P53146
LSG1	P53145
RPL28	P02406
NSA1	P53136
TAF6	P53040
SLD3	P53135
CDC20	P26309
PRP43	P53131
NAB2	P32505
RPS2	P25443
CWC23	P52868
CEG1	Q01159
SEC27	P41811
GPI10	P30777
TIP20	P33891
INO80	P53115
CDC43	P18898
CUP2	P15315
SUA5	P32579
ROK1	P45818
NUP49	Q02199
ATG1	P53104
RPS26A	P0C0V8
MCM6	P53091
SPT16	P32558
VRG4	P40107
SEC15	P22224
CSE1	P33307
GUS1	P46655
BRR6	P53062
SWC4	P53201
TFG2	P41896
SEC9	P40357
SNU71	P53207
THG1	P53215
ERV1	P27882
POP6	P53218
TAM41	P53230
TFC4	P33339
UFD1	P53044
ERG25	P53045
VHT1	P53241
SMD1	Q02260
PRP38	Q00723
TOM20	P35180
GCD2	P12754
UTP22	P53254
PRP31	P49704
VAS1	P07806
RRP46	P53256
ESP1	Q03018
TEL2	P53038
NOP7	P53261
DAM1	P53267
SPT6	P23615
NUP57	P48837
COG2	P53271
UTP8	P53276
CBF2	P32504
ENP2	P48234
NAT2	P37293
PTI1	P39927
MTR3	P48240
YIP1	P53039
ERG1	P32476
OKP1	P53298
TYS1	P36421
TFG1	P41895
HIP1	P06775
SKI6	P46948
YPP1	P46951
ZPR1	P53303
GPI1	P53306
CRM1	P30822
LSC2	P53312
SDA1	P53313
BRF1	P29056
YGR251W	P53317
PUP2	P32379
MES1	P00958
FOL2	P51601
TAF1	P38724
CAB4	P53332
CWC22	P53333
PXR1	P53335
PAU12	P53343
RPS20	P38701
ERG11	P10614
SPO13	P23624
DED81	P38707
YHR020W	P38708
MYO1	P08964
MAS2	P11914
BRL1	P38770
BCD1	P38772
NCP1	P16603
MED6	P38782
RPP1	P38786
RRP3	P39520
DYS1	P38791
RRP4	P38792
TRM5	P38793
ERG7	P38604
NOP10	Q6Q547
QNS1	P38795
KSP1	P38691
SAM35	P14693
STE12	P13574
IPI1	P38803
NAM8	Q00539
RPF1	P38805
SFB3	P38810
BIG1	P38813
CDC12	P32468
ORC6	P38826
YHR122W	P38829
RPC10	P40422
IMP3	P32899
DNA2	P38859
CDC23	P16522
NMD3	P38861
SPC97	P38863
KOG1	P38873
GPI16	P38875
ERG9	P29704
UTP9	P38882
RIX1	P38883
CFD1	P40558
BET1	P22804
FAF1	P40546
RPB3	P16370
TIM44	Q01852
IRR1	P40541
ULP2	P40537
MET30	P39014
NEO1	P40527
MMF1	P40185
SNP1	Q00916
ARC15	P40518
YRB2	P40517
SEC6	P32844
RPN2	P32565
THS1	P04801
CAB2	P40506
YIL091C	P40498
SHQ1	P40486
MOB1	P40484
SEC24	P40482
NUP159	P40477
RHO3	Q00245
STH1	P32597
TAO3	P40468
CCT2	P39076
SSL2	Q00578
TID3	P40460
SLN1	P39928
MCM10	P32354
DJP1	P40564
PAN1	P32521
PRI1	P10363
DSN1	P40568
STS1	P33302
SQT1	P35184
RPR2	P40571
SEC11	P15367
PRE3	P38624
OST1	P41543
CYR1	P08678
CCT8	P47079
NOP9	P47077
RPC17	P47076
CCT3	P39077
MPS3	P47069
RRN7	P40992
RNR2	P09938
BET4	Q00618
HCA4	P20448
KAR2	P16474
TAD2	P47058
NUP192	P47054
NSP1	P14306
MTR4	P47047
TIM54	P47045
NUP82	P40368
UTP18	P40362
PSF2	P40359
SMC3	P47037
NET1	P47035
ARP4	P80428
EXO70	P19658
TRL1	P09880
DPB11	P47027
GWT1	P47026
PHS1	P40857
PAM16	P42949
UTP10	P42945
CCT7	P42943
MTC1	P47018
GCD14	P46959
TIM17	P39515
SSY5	P47002
FAR1	P21268
TPK1	P06244
ERG20	P08524
RFA3	P26755
KRE9	P39005
CDC6	P09119
PRP21	P32524
MPP10	P47083
YJR003C	P47084
POL31	P46957
SUI2	P20459
YJR012C	P47087
GPI14	P47088
ILV3	P39522
ESS1	P22696
LSM8	P47093
URB2	P47108
NUP85	P46673
SSC1	P0CS90
TAH11	P47112
CDC8	P00572
CCT5	P40413
ARP3	P47117
YAE1	P47118
RFC2	P40348
NPA3	P47122
CDC11	P32458
FIP1	P45976
SFC1	P33303
NNF1	P47149
RPS5	P26783
YJR141W	P47172
AUR1	P36107
SFT1	P43682
PRP40	P33203
ARC19	P33204
URB1	P34241
SWD2	P36104
RAM2	P29703
MAK11	P20484
CDC16	P09798
URA6	P15700
TFA1	P36100
TTI1	P36097
UGP1	P32861
SPC42	P36094
PRI2	P20457
CSE4	P36012
ASK1	P35734
TOA2	P32774
MPE1	P35728
FBA1	P14540
DHR2	P36009
RRP14	P36080
CAB3	P36076
MIF2	P35201
YJU2	P28320
UTP11	P34247
HSL1	P34244
GFA1	P14742
SLD2	P34252
ABF1	P14164
SRP21	P32342
RRN3	P36070
HSK3	P69852
SDH3	P33421
RPC25	P35718
RPT1	P33299
GPM1	P00950
SRP102	P36057
MCD4	P36051
TPK3	P05986
EBP2	P36049
SNU114	P36048
RPL17A	P05740
FAS1	P07149
MTR2	P34232
HYM1	P32464
ACP1	P32463
SDS22	P36047
MIA40	P36046
YKT6	P36015
