Asb8	Q91ZT9
Ascc2	Q91WR3
Ascc2	Q91WR3
Ascc3	E9PZJ8
Asf1a	Q9CQE6
Ash2l	Q91X20
Asna1	O54984
Asnsd1	Q8BFS9
Asxl1	P59598
Asxl2	Q8BZ32
Asxl2	Q8BZ32
Atad1	Q9D5T0
Atad3a	Q925I1
Atf1	P81269
Atf6	F6VAN0
Atf6b	O35451
Atf7ip	Q7TT18
Atg101	Q9D8Z6
Atg12	Q9CQY1
Atg13	Q91YI1
Atg14	Q8CDJ3
Atg16l1	Q8C0J2
Atg16l2	Q6KAU8
Atg2a	Q6P4T0
Atg2a	Q6P4T0
Atg2a	Q6P4T0
Atg2b	Q80XK6
Atg3	Q9CPX6
Atg4a	Q8C9S8
Atg4b	Q8BGE6
Atg4d	Q8BGV9
Atg5	Q99J83
Atg7	Q9D906
Atg9a	Q68FE2
Atg9a	Q68FE2
Atic	Q9CWJ9
Atl3	Q91YH5
Atmin	Q6P9S1
Atp13a1	Q9EPE9
Atp1b3	P97370
Atp5c1	Q91VR2
Atp5g1	Q9CR84
Atp5g1	Q9CR84
Atp5g3	P56384
Atp5g3	P56384
Atp5j	P97450
Atp6ap2	Q9CYN9
Atp6v0e	Q9CQD8
Atp6v0e	Q9CQD8
Atp6v1d	P57746
Atp6v1h	Q8BVE3
Atp6v1h	Q8BVE3
Atp9b	P98195
Atpaf1	Q811I0
Atpaf1	Q811I0
Atr	Q9CZ52
Atxn10	P28658
Atxn1l	P0C7T6
Atxn2	O70305
Atxn2	O70305
Atxn2l	Q7TQH0
Atxn2l	Q7TQH0
Atxn2l	Q7TQH0
Atxn3	Q9CVD2
Atxn7l1	Q9CZ05
Atxn7l1	Q9CZ05
AU040320	Q8K135
Auh	Q9JLZ3
Auh	Q9JLZ3
Aven	Q9D9K3
Avl9	Q80U56
AW209491	A0A1Y7VLG8
AW549877	Q8BR90
Axin1	O35625
Azi2	Q9QYP6
Azi2	Q9QYP6
B230219D22Rik	Q922W8
B3gntl1	Q3U129
B4galt7	Q8R087
B9d2	Q3UK10
Babam1	Q3UI43
Bad	Q61337
Bad	Q61337
Bad	Q61337
Bag1	Q60739
Bag4	Q8CI61
Bag5	Q8CI32
Bag6	Q9Z1R2
Bag6	Q9Z1R2
Banf1	O54962
Bap1	Q99PU7
Baz1b	Q9Z277
Baz2a	Q91YE5
Baz2a	Q91YE5
Baz2b	A2AUY4
Bbip1	J3QMK2
Bbs1	Q3V3N7
Bbs4	Q8C1Z7
Bbx	Q8VBW5
BC003965	Q6RUT7
BC004004	Q99KU6
BC004004	Q99KU6
BC005624	Q3TQI7
BC024978	F7BUA2
BC024978	F7BUA2
BC029722	A0A0N4SW31
BC031181	Q91WE4
Bcap29	Q61334
Bcap31	Q61335
Bcas3	Q8CCN5
Bccip	Q9CWI3
Bcdin3d	Q91YP1
Bckdk	O55028
Bckdk	O55028
Bcl2l13	P59017
Bcl7b	Q921K9
Bcs1l	Q9CZP5
Bet1l	O35153
Bfar	Q8R079
Blmh	Q8R016
Bloc1s1	O55102
Bloc1s2	Q9CWG9
Bloc1s3	Q5U5M8
Bloc1s5	Q8R015
Blzf1	Q8R2X8
Blzf1	Q8R2X8
Bmi1	P25916
Bnip3l	Q9Z2F7
Bod1	Q5SQY2
Bop1	P97452
Borcs7	Q9CRC6
Bphl	Q8R164
Bpnt1	Q9Z0S1
Bptf	Q3UPA6
Bptf	Q3UPA6
Braf	P28028
Brap	Q99MP8
Brcc3	P46737
Brcc3	P46737
Brd1	G5E8P1
Brd2	Q7JJ13
Brd2	Q7JJ13
Brd3	Q8K2F0
Brd4	Q9ESU6
Brd4	Q9ESU6
Brd7	O88665
Brd9	Q3UQU0
Brf1	Q8CFK2
Brix1	Q9DCA5
Brk1	Q91VR8
Brms1	Q99N20
Brms1l	Q3U1T3
Bsdc1	Q80Y55
Btaf1	A0ZVB6
Btbd1	P58544
Btbd2	Q0P614
Btbd9	Q8C726
Btd	Q8CIF4
Btf3	Q64152
Btf3l4	Q9CQH7
Btf3l4	Q9CQH7
