AT2G29640	O82391
AT2G29900	Q9SIK7
AT2G30460	Q8GUJ1
AT2G30780	O49343
AT2G31190	Q9SJX7
AT2G31450	Q9SIC4
AT2G31710	Q9SIN7
AT2G32170	Q8RWX2
AT2G32450	Q8S8L9
AT2G32630	Q8S8P6
AT2G33120	P47192
AT2G33435	F4IVU7
AT2G33470	O22797
AT2G33585	A0A178VSC0
AT2G34380	Q8L615
AT2G34980	O64761
AT2G35320	O82162
AT2G35360	O82301
AT2G36480	F4IMY0
AT2G36840	Q9SJM1
AT2G38450	O80906
AT2G38570	F4IT02
AT2G38960	Q7X9I4
AT2G39170	O80964
AT2G39440	F4IVV8
AT2G40280	Q9SIZ3
AT2G40316	Q58FY5
AT2G40800	Q9SHB0
AT2G40860	Q940A2
AT2G41350	F4IK01
AT2G42150	O48523
AT2G42670	Q9SJI9
AT2G43410	Q8LPQ9
AT2G43640	O04421
AT2G44525	A0A5S9X6Y2
AT2G44620	P53665
AT2G44900	O22161
AT2G45010	Q8L3T0
AT2G45500	A0A1P8AX27
AT2G45730	O80846
AT2G45880	O80831
AT2G46020	Q6EVK6
AT2G46180	Q8VYU6
AT2G47580	Q39244
AT2G47820	Q8GZA1
AT2G48000	Q9ZU88
AT3G01360	Q9SRI3
AT3G01890	Q147F4
AT3G02260	Q9SRU2
AT3G02820	Q8GW91
AT3G02860	Q9M8S7
AT3G03140	Q9M9N3
AT3G03320	Q9SRN6
AT3G03350	F4J129
AT3G03360	Q84W80
AT3G03610	Q8VXW7
AT3G03740	Q9SRV1
AT3G03810	F4J2C8
AT3G04240	Q9M8Y0
AT3G04460	Q9M841
AT3G04750	Q9SR01
AT3G04930	Q9CAV7
AT3G05010	Q94AH1
AT3G05190	Q8W0Z7
AT3G05420	Q9MA55
AT3G06400	Q8RWY3
AT3G06820	F4JC55
AT3G07140	Q949U5
AT3G07140	Q949U5
AT3G07300	A0A384L2N7
AT3G07525	Q8VZ52
AT3G07550	Q9SRR1
AT3G08570	Q9C9Z7
AT3G08820	Q9SR82
AT3G08890	Q9SR89
AT3G09310	Q9SR32
AT3G09350	A0A654FAQ8
AT3G09560	Q9SF47
AT3G09970	Q9SR62
AT3G10210	Q9SS33
AT3G10380	Q93YU5
AT3G10390	Q9CAE3
AT3G10630	Q9LPN6
AT3G10820	F4J4Y5
AT3G11460	Q9CAY1
AT3G11490	Q9CAX8
AT3G11910	Q84WU2
AT3G11910	Q84WU2
AT3G12650	Q9LTX0
AT3G13430	Q9LJE9
AT3G13620	Q9LHN7
AT3G13780	F4JEI7
AT3G13970	Q9LVK3
AT3G14172	A0A1I9LS39
AT3G15160	Q8H1F1
AT3G16010	Q9LW84
AT3G16740	Q9LUQ9
AT3G17030	A0A654F9U6
AT3G17280	Q9LUU3
AT3G17310	Q8H1E8
AT3G17626	A0A384L7V5
AT3G18020	Q9LSK8
AT3G18840	Q9LHN5
AT3G19220	Q93YN0
AT3G19340	Q8RWC3
AT3G19470	Q8LCE9
AT3G19510	Q04996
AT3G19520	Q9LH42
AT3G20010	Q9LHE4
AT3G20060	Q9LJZ5
AT3G20490	F4JEP8
AT3G20620	Q8GYH4
AT3G20730	Q9LT48
AT3G20740	Q9LT47
AT3G20890	A0A384KE91
AT3G20890	A0A384KE91
AT3G21175	Q8GXL7
AT3G21295	A0A384KD89
AT3G21740	Q9LSZ0
