l(2)gl	P08111
CG9044	Q9VMK9
chic	P25843
eIF-4a	Q02748
ifc	Q94515
lid	Q9VMJ7
Gal	Q9VMJ5
CG9107	Q9VMJ1
mtm	Q9VMI9
ade2	P35421
slmo	Q9V3U9
CG12393	Q9VMI6
CG9135	Q9VMI5
CG9140	Q9VMI3
CG13994	Q9VMI2
CG9144	Q9VMI1
CG9147	Q9VMI0
CG13993	Q9VMH8
CG9154	Q9VMH7
Kr-h2	Q9V447
CG9175	Q9VMH4
stai	B6IDV6
Arc-p20	Q9VMH2
CG9226	Q6NL34
Gef26	Q9VMF3
Pez	Q9V3V3
Cpr	Q27597
CG9523	Q8SWV6
CG9527	Q9VMD7
retm	Q9VMD6
CG9526	Q9VMD5
CG16947	Q9VMD4
CG9531	Q9VMD3
mmy	Q8IPJ6
CG9536	Q9VMD2
Sec61alpha	Q8STG9
DLP	Q9VUG1
CG9542	Q9VMC9
epsilonCOP	Q9Y0Y5
CG9548	Q9VMC8
CG31638	Q9VMC7
CG31637	Q9VMC3
CG11015	Q9VMB9
Ent2	Q9VMB6
CG11050	Q9VMB3
CG31635	Q9VMA9
Tango1	Q9VMA7
CG31633	Q9VMA6
CG11070	Q9U4F8
Spn27A	Q9V3N1
CG34310	A8DYW4
Nhe3	D5SHT8
Tsp	B7Z030
homer	O96607
Liprin-alpha	Q9VM93
nrv1	Q24046
nrv2	Q24048
Rca1	Q9VM76
CG10354	Q9VM71
wee	P54350
xl6	Q9V3V0
nop5	Q9U5W4
Hrb27C	P48809
CG10158	Q9VM65
Gas41	Q9VM63
Coprox	Q9V3D2
smt3	O97102
snRNP70K	P17133
ade3	P00967
CG31908	Q8T9H8
Rab30	Q9VM50
CG11266	Q9VM49
milt	Q960V3
Mnn1	Q8SXU2
CG13779	Q9VM46
CG4495	A2VEI2
CG4497	Q9VM36
CG4502	Q9VM35
CG13784	Q8T9A4
Ndae1	Q9VM31
CG5149	Q9VM22
CG5171	B1PH59
CG5177	Q9VM18
CG5181	Q9VM17
CG5261	B1PGZ9
CG5958	Q9VM12
CG5973	Q9VM11
CG15819	M9PCG7
CG6630	M9PCG7
Rapgap1	Q9VM00
TepII	Q9NFV7
CG7154	Q9VLX2
CG7149	Q8T0S3
Herp	Q9VLW9
r2d2	Q2Q0L0
cdc14	Q5U0V6
LanB1	P11046
CG7115	D8FT19
Rack1	O18640
mts	P23696
CG18591	Q9VLV5
CG34132	Q0E8V7
CG7231	Q8MQP2
pes	B7Z031
CG7224	Q9VLU6
Wwox	Q9VLU5
CG7219	Q9VLU4
CG7356	Q9VLU2
baf	Q9VLU0
Cka	D3DML3
RpL36A	Q9VLT7
CG7466	Q8T0D8
poe	Q9VLT5
MED20	P91641
Trf	Q27896
Mcr	Q9VLT3
Bsg	Q07171
CG8683	Q9VLT1
CG12375	Q9VLS9
CG8668	Q9VLS8
CG8552	Q9VLS7
Rbsn	Q9VLS5
CG8498	Q9VLS4
CG8486	M9MRE5
CG34134	Q0E8L1
CG8475	Q9VLS1
CG8460	Q9VLS0
Su(var)205	P05205
Ssb-c31a	Q9VLR5
CG8372	Q8IPG2
CG8360	Q9VLR3
Snx6	Q9VLQ9
Pvr	B6IDV6
CG8086	M9PB71
Btk29A	P08630
CG7870	Q9VLQ1
CG7840	Q9VLP9
CG7830	Q8SY53
CG7806	Q9VLP5
CG7787	Q9VLP3
CG7781	Q9VLP2
CG14275	Q9VLP1
CG7627	Q9VLN6
RpS13	Q03334
CSN8	Q7KTH8
Pp2A-29B	P36179
CG17292	Q7K3Z8
CG17293	Q9VLN1
CG13390	Q8SXX3
CG17294	Q9VLM9
Aats-ala	Q9VLM8
CG13393	Q9VLM5
CG13384	Q9VLM4
emb	Q9TVM2
Akap200	Q9VLL3
grk	P42287
fu12	Q7KTI0
CG13096	Q9VLK2
CG13089	Q9VLK0
mRpL51	Q9VLJ9
CG13090	Q9VLJ8
Acer	Q9VLJ6
CG34441	Q9VLJ5
CG17834	Q9U5W2
Glt	P33438
CG9296	Q9VLJ0
CG9298	Q9VLI9
Hnf4	P49866
raw	Q9VLI5
Tsp29Fb	Q9VLH0
CG9510	Q9VLG9
CG9520	Q7K237
alien	Q94899
CG9568	Q9VLF4
CG32982	Q8SZR2
CG9586	Q8SYU0
tai	Q9VLD9
Aldh	B0F5A6
scat	Q9VLC0
numb	P16554
Gdi	Q9VLB7
CG33298	Q7KTG5
Oatp30B	Q9VLB3
CG3838	Q9VLA6
CG4389	Q9V397
GlcAT-S	Q9VLA1
Pka-C1	P12370
hoip	Q9U3Z7
pelo	P48612
CG4364	Q9VL96
zf30C	Q9VL91
Taf11	P49906
und	Q9VL89
IP3K1	Q9VL83
CG18854	Q8IH06
FKBP59	X2J5E8
CG4537	Q9VL77
Bka	Q9VL75
sop	P31009
CG13124	Q8MRQ1
CG5899	Q9VL72
Srp54	Q9VL71
yip2	Q9VL70
CG5885	Q9VL69
CG4598	Q9VL68
CG4592	Q9VL66
CG31712	Q9VL63
CG4619	Q7KTG0
CG5853	Q9VL61
CG5846	Q9VL58
CG4658	Q9VL57
CG5850	Q9VL56
Dref	Q94883
RpL13	P41126
CG4747	Q8T079
Trp1	Q9VL49
Pen	P52295
RpL7	P32100
CG34159	Q9VL29
CG5734	Q9VL28
CG4901	Q9VL25
NPC1	X2J9B0
Pros35	P12881
CG5708	Q9VL21
eEF1delta	Q9VL18
me31B	P23128
chico	Q9XTN2
bsk	P92208
CG31717	Q8T8T9
CG5676	Q9VL16
Rsf1	Q24491
CG18619	Q9VL14
CG4953	Q95TN1
CG31873	Q9VL10
CG5640	Q9VL07
CG5604	Q9VL06
CYLD	Q8IPC5
nmd	Q9VL02
CG5390	Q9VL01
CG4968	Q9VL00
Cdk5alpha	Q9V3H5
CG5384	Q9VKZ8
CG4972	Q9VKZ7
CG5381	Q9VKZ6
CG5037	Q9VKZ1
GATAd	Q9VKZ0
SamDC	P91931
CG31715	Q8MYY7
Sps2	Q9VKY8
CG5045	A0AN47
CG5366	Q9VKY2
CG13139	Q9VKY1
CG5056	Q9VKY0
CG33303	Q76NQ0
cdc2	P23572
mRpS7	Q9VKX4
da	P11420
CG5362	Q9VKX2
CG31716	Q9VKX1
RpS27A	P15357
Ip259	O76994
CG5355	Q9VKW5
CG5168	Q9VKW1
SmB	Q05856
KdelR	O76767
CG5188	Q9VKV9
CG5343	Q9VKV8
TfIIB	P29052
CG5198	Q9VKV5
CHIP	Q7KVG9
CG6206	Q9VKV1
CG7456	Q95TN4
CG6144	Q9VKU5
Myo31DF	Q23978
CG6094	C0MKK6
Fatp	Q9VKU1
Lip4	Q9VKT9
CG6443	Q9VKR2
CG6750	Q9VKR0
CG6444	Q9VKQ9
Nup107	Q9V466
CG6729	Q9VKQ6
CG17124	Q9VKQ5
UbcD2	P52485
CG6724	Q9VKQ3
CG6700	Q9VKP5
porin	Q94920
Dnz1	Q9VKN8
Stam	Q9XTL2
CG33129	Q9VKM8
YL-1	Q9VKM6
l(2)06225	Q9VKM3
SCAR	F2FB81
CG16833	M9NEE5
RpL9	P50882
dUTPase	Q9V3I1
Samuel	Q9VKL0
CG4705	Q9VKK2
Ge-1	Q9VKK1
CG6192	Q8MQS4
l(2)gd1	Q9VKJ9
CG6230	Q9VKJ6
CG4738	Q9VKJ3
CG4751	Q9VKJ1
CG6287	Q9VKI8
cana	X2J5P0
Ppt2	Q9VKH6
mre11	Q9VZ69
CG6488	Q9VKH0
CG6509	Q9VKG8
CG31705	Q9VKG4
crol	Q8MRK4
CG14939	Q9VKF0
CG6686	Q9VKD8
dgt2	Q9VKD6
CG12264	Q9VKD3
CG6746	Q9VKD2
l(2)01810	Q9VKC9
Tom70	Q9VKC8
CG6766	Q9VKC7
CG6770	B7Z018
JhI-21	Q9VKC2
CG5317	Q9VKC1
CG5325	Q8IP97
Ced-12	Q9VKB2
Aats-thr	Q9VKB0
Rab6	O18334
CG6583	Q9VKA1
CG17218	Q9VKA0
aret	Q8SYC0
bru-2	Q7K108
vir-1	Q8SXD5
CG5446	Q868A1
CG6388	Q9VK89
SC35	Q9V3T8
Elf	Q9VK85
bun	Q24522
CG5525	Q9VK69
CG6153	Q9VK68
spict	Q9VK62
CG6180	Q9VK60
CG5787	Q9VK59
CG5792	Q9VK57
MRP	Q9VK56
Vha68-2	Q27331
CG12404	Q9VK46
Vha68-1	P48602
Tor	Q9VK45
CG9934	Q9VK44
A16	Q9VK43
DnaJ-H	Q9VK35
Sir2	Q9VK34
Sfmbt	Q9VK33
CG5439	Q9VK31
CG5287	Q9VK30
CG16974	Q9VK28
Edem2	Q9VK27
CG16972	Q8SWW4
Pect	Q8IP80
CG9426	Q9VK21
Ski6	Q9VK19
CG16812	Q9VK18
CG6116	Q9VK07
CG31729	Q9VK06
Nnp-1	Q9VJZ7
CG6523	Q9VJZ6
Tap42	Q9VJZ5
CG31855	Q8IP73
CG9306	Q9VJZ4
CG9305	Q9VJZ3
CG6565	Q9VJZ2
CG9302	Q9VJZ1
loqs	Q9VJY9
CG9293	Q9VJY8
RpL24	Q9VJY6
CG9267	Q9VJX8
B4	Q9VJX3
kuz	Q9VJW9
ics	Q9V428
CG18507	Q7KTB0
CG7364	Q9V3N6
CG9008	Q9V3D1
p38b	O61443
CG16890	Q9V3M2
CG31731	E1JHH7
sec71	Q9VJW1
CG16865	Q9V412
Sos	P26675
Sop2	O97182
DNApol-gamma35	Q9VJV8
RpII33	O97183
mRpS23	Q8IP62
Smg5	Q9V414
Ance	Q10714
nimB3	Q2PDU0
smi35A	Q9V3D5
CG33090	Q7KT91
mTTF	Q9V3F3
CG7532	Q9V3Y3
Rab14	O18336
Pgant35A	Q8MVS5
elB	Q9VJS8
noc	Q24423
osp	Q27421
Adh	P00334
dyn-p25	Q9NHE4
CG4140	Q9V3Y0
NC2beta	Q9VJQ5
yellow-c	Q9VJQ3
l(2)35Bg	Q9V3Y2
Su(H)	P28159
ck	Q9V3Z6
TfIIS	P20232
vig	Q9V426
stc	P40798
ZnT35C	Q9V471
l(2)35Cc	Q9VJP9
yuri	Q8IP47
gft	Q8IP45
UK114	Q9V3W0
lace	Q9V3F2
l(2)35Di	Q9V3W2
l(2)35Df	Q9Y134
Gli	Q7KT70
CG3793	Q9V3K7
CG12455	Q8IP22
PRL-1	O61722
CG4930	Q9V3V9
crp	Q9V406
pkaap	Q9V3I3
heix	Q9V3R8
CG5869	Q9VJL6
CG5861	Q9V3I6
Syx5	Q24509
cni	P49858
cact	Q03017
CG4278	Q9NK57
mRpL4	Q9V3D0
chif	Q9NK54
CaBP1	Q9V438
Idgf2	Q9V3D4
Idgf3	Q8MLZ7
Tpr2	Q9V3W1
CG42389	Q4V4Z9
grp	O61661
Cyt-c-p	P84029
VhaSFD	Q9V3J1
CG17996	Q9VJJ1
CG17331	Q9VJJ0
CG17904	Q9VJI9
CG13277	Q9VJI7
CG17912	A8DZ09
yellow-b	Q9VJI5
Mhc	P05661
mdy	Q8ST50
CG31739	Q960U8
CG13284	Q86BQ3
CG34313	A8DZ10
CG6115	Q9VJG4
CG15133	E1JHJ7
CG15134	X2JAP2
ApepP	Q9VJG0
CG4841	X2JAP2
CG6860	Q960C5
CLIP-190	Q9VJE5
Rpb11	Q9VJE4
CG15141	Q9VJE3
dl	P15330
BicD	P16568
Sgt	Q9VJD4
Aac11	Q9V431
fws	Q9VJD3
CG5110	Q9VJD2
CG6453	Q9VJD1
CG5131	Q9VJD0
qua	Q23989
CG6412	Q9VJC7
CG5674	Q8INY5
kel	Q04652
Socs36E	Q9VJA1
CG7200	Q9VJ97
Fas3	P15278
RpS26	P13008
bsf	Q95NR4
Pde11	Q9VJ79
CG10413	Q9VJ75
CG10333	Q9VJ74
MESR3	Q7KJV2
CG31751	Q9VJ68
CG10383	Q9VJ64
CG10338	Q9VJ63
CG10341	Q9VJ62
CG10376	Q9VJ61
CG10343	Q9VJ60
CG10373	Q9VJ59
Faf	A0A0B4K6W2
CG17323	Q9VJ46
CG17597	Q9VJ44
ScpX	O16158
CG10600	B7YZX6
CG10602	A4V0U4
mRpL13	Q9VJ38
ssp3	Q9VJ35
CG10428	Q9VJ34
Nedd8	Q9VJ33
CG10621	Q9VJ32
CG10623	C0MKB4
Nak	Q9VJ30
CG10639	Q9VJ28
CG10641	Q9VJ26
CG15168	Q9VJ25
CG10650	Q9VJ22
RpL30	Q9VJ19
hk	Q24185
CG31800	Q8INX1
mib2	Q9VJ14
Catsup	Q9V3A4
CG15173	Q8SYD0
hkl	Q9VJ12
CG10470	Q9VJ11
l(2)37Bb	Q9VJ10
Dox-A2	P25161
CG10492	Q9VJ08
CG10561	P18487
l(2)37Cc	P24156
Aats-asn	Q9V434
l(2)37Ce	Q9VIZ1
brat	Q8MQJ9
pigeon	Q24118
CG17549	Q9VIX6
CG17544	Q9VIX4
Pax	Q8INW7
CG16771	Q9VIW9
CG9987	Q9VIW7
RanGap	M9PBD9
Top2	P15348
CG10026	Q9VIW1
CG10194	Q9VIV6
CG10189	Q9VIV3
swm	Q9VIV2
CG10188	Q9VIV0
CG10132	Q9VIU8
CG10166	Q9VIU7
ref(2)P	P14199
TepIV	A0ZWM5
spi	Q01083
CG10268	Q9VIT2
CG10262	Q9VIT0
CG10366	Q8MR68
Lar	P16621
CG10462	Q9VIS7
CG10447	Q8ST61
CG10631	Q9VIS5
CG10628	Q9I7M2
fbp	A0A0U1RVK6
CdGAPr	Q9VIS1
CG10466	Q9VIS0
fs(2)ltoPP43	Q9VIR9
sick	Q9VIQ9
CG10664	Q9VIQ8
Hf	Q9VIQ4
barr	Q9VGY3
vls	Q9VIP8
bwa	Q9VIP7
pr	P48611
fok	Q8MYU0
CG10747	Q9VIP3
CG10721	Q9VIP2
Taf13	Q9VIP1
mRpS18B	Q9VIN9
spir	Q9U1K1
La	P40796
rtGEF	C3KGL5
Arc-p34	Q9VIM5
