l(2)gl	P08111
Mef2	P40791
CG12130	Q9V5E1
CG1418	A1Z823
Adam	Q7K550
TER94	Q7KN62
Pka-R2	P81900
CG1407	Q7K2V5
CG18445	Q6NN55
CG2249	Q7JW00
CG12918	Q7JXF7
CG2264	Q0E9E0
mRpL42	Q7K0A0
CG1371	Q95SU3
egr	Q8MUJ1
Jra	P18289
CG1381	Q7K1Q7
14-3-3zeta	P29310
Pfk	P52034
CG11866	Q7K2J4
gem	Q8IRY7
CG12214	Q7K549
Syb	P18489
CAP	Q966V0
CG42236	Q4Z8K6
CG12895	A1Z897
G-oalpha47A	P16378
CG11777	Q8MKJ6
CPTI	Q9V3K9
trsn	Q7JVK6
CG17765	Q7K2L7
lola	P42283
psq	Q86BJ3
CG16728	Q95RG8
Rab3	P25228
CG12338	Q7JZB1
CG7220	A1Z8B5
Mat1	Q9VDC8
CG33144	Q7JR34
CG12340	Q7KMH9
CG12935	Q7JW07
CG7637	Q9V5P6
CG12341	Q7JV61
CG7222	Q7K2B1
Prosbeta5	Q7K148
RpS15Ab	Q7KR04
CG12343	Q9V5Q4
CG7686	Q7KN79
CG30015	Q8T0M2
CG6751	A1Z8D0
Taf5	P49846
CG18003	A1Z8D3
CG18004	A1Z8D4
CG30020	Q7JQY8
CG7712	Q7JZK1
Rpb5	Q7JZF5
CG12391	Q7K4G8
shn	Q0E9C5
Syx6	Q7JY00
skf	Q8T5S9
CG9067	A1Z8I0
Vhl	Q9V3C1
CG9062	Q1LZ08
CG13220	Q6NP72
CG13213	Q494G8
dare	Q9V3T9
CG42336	A1Z8I8
Fpps	Q7KN61
CG7745	Q7K3E9
CG12384	Q7JRC0
ix	Q7KBL8
san	Q9NHD5
Tapdelta	Q7KLX3
CG9027	Q7JR71
CG7777	J7K3P9
E(Pc)	Q0E9C2
tou	Q95T46
Egm	Q5U117
CG9005	Q7JXG9
CG9003	A8DYA5
CG34228	Q6IGN6
Roc2	Q7JWH5
wal	Q7KN94
CG13197	Q8SX38
CG13192	Q1WWB7
CG34229	Q6IGM9
S2P	Q7JZ56
Mtor	A1Z8P9
ERp60	Q3YMU0
Ef1alpha48D	P08736
CG30038	Q7JUM5
MCPH1	Q7JUM5
CG13189	Q8SWW2
CG8979	Q9V637
CG8290	Q961B8
RnrS	P48592
rho-7	A1Z8R8
CG8298	Q7JY99
CG8889	Q8T085
pds5	A1Z8S6
CG8321	Q7K0Q0
128up	P32234
CG8888	Q7K3N4
CG18343	A1Z8T3
CG8378	L0CPB0
CG8878	Q7KMI3
prp8	Q960V2
Oda	P54361
Cct5	Q7KKI0
CG8862	Q7JXB9
CG8860	Q9V668
CG13176	Q7JW27
DebB	Q24297
CG8858	Q9V677
RpS11	Q0E9B6
Cam	P62152
CG13163	Q4V619
CG8841	Q0E9B5
garz	A1Z8W8
CG8490	A1Z8X0
CG8493	Q7JUX2
CG8839	Q7K2E1
CG8520	Q7K4T8
CG8525	Q7K209
CG8831	Q9V6B9
CG8830	Q7JQI1
Dyb	Q9GT70
Lac	Q24372
CG8545	A1Z909
fdl	Q8WSF3
CG8818	Q7K2X0
CG8594	Q7JZ25
Sin3A	A1Z927
Amph	D0IQK3
spt4	Q9TVQ5
Iswi	Q9W568
CG8778	A1Z934
CG8632	A1Z936
CG8776	Q7JR72
nemy	A1Z944
CG8768	Q8T0N5
CG12488	A1Z951
tafazzin	A0A0B4JD45
mRpL18	Q7JVK1
ox	Q9XY35
Dgkepsilon	Q7K579
Nacalpha	Q94518
CG17574	A0A0B4K6Z5
bic	Q7KM15
CG3814	Q6AWP0
Nmda1	Q95T37
Aats-asp	Q7K0E6
NAT1	Q94521
CG13319	Q7JWR4
sug	Q7K0S9
CG17019	A1Z971
CG13322	Q8T8S1
Mdr49	Q00449
CG3884	C6SV36
CG13321	Q7JZZ3
CG3955	Q7K2X4
Cap-G	B3DN53
PR2	Q9I7F7
TppII	Q9V6K1
CG34439	A8DYC5
GLaz	A1Z991
Spt-I	Q6NR46
CG33138	A1Z992
CG17724	Q7K014
seq	A0A0B4LFA2
CG33182	Q9V6L0
Aats-val	Q0E993
CG4627	Q059A4
CG4646	A1Z9A2
CG17059	Q7JVR7
CG4643	Q9V6L9
Dp	Q24318
CG4663	Q7JRD4
CG12765	A1Z9A5
CG4670	Q7JQR3
CG4679	A1Z9A8
Mp20	P14318
CG42321	Q6AWM7
cnn	P54623
cbs	Q9VRD9
arr	P54623
CG5970	Q7K284
CG6016	A1Z9D9
drk	Q08012
EfTuM	A1Z9E3
CG6145	Q6IDH2
CG33156	Q8IGA7
Roe1	P48604
CG6191	A1Z9G1
CG6197	A1Z9G2
fl(2)d	Q9Y091
CG6329	Q7K188
CG6543	Q7JR58
CG13343	Q9V6U8
CG16935	Q9V6U9
CG13344	A1Z9I6
shot	A0A0B4K869
AGO1	Q32KD4
CG33155	Q0E985
CG13349	Q7K2G1
Cp1	Q95029
Aats-phe	O16129
CG6701	A1Z9K0
CG8067	Q7K1S1
RN-tre	Q7KQC4
mam	P21519
Prosap	A1Z9K8
CG8233	Q8T076
CG13018	Q4V429
CG13016	A1Z9L5
CG8257	Q7K3P0
Tango7	Q7JVI3
CG8323	Q7JZE8
CG18324	Q7K2Y2
CG8331	A1Z9M2
mRpS16	Q9V6Y3
cg	Q7KHK4
RpS23	Q8T3U2
CG8468	Q7K1L4
opa1-like	Q95U20
CG8485	Q0E981
CG8494	Q7JW61
CG8503	Q7K561
Hsc70-5	P29845
CG8531	Q7K0W1
beta4GalNAcTA	Q7KN92
CG8547	Q0E980
SelD	O18373
Ih	Q95T40
CG34379	A1Z9P3
CG8613	Q5BIA9
CG8617	Q7K4P0
Arc1	Q7K1U0
Tfb1	Q960E8
CG17385	Q4V6X9
Sin1	Q9V719
L	A1Z9R4
Asx	Q9V727
Cpr51A	Q7JZW0
CG30077	A1Z9S1
tra2	P19018
Sec61beta	Q7JZN0
CG10139	Q7K5M2
mspo	Q7JY80
Rpn6	Q7KLV9
ave	Q8ML92
CG12859	Q6IDF5
CG10153	Q7K2Q8
Spred	F0JAK5
BEAF-32	Q94513
CG10200	Q7JVV8
CG10209	Q7K3Q3
Ciao1	Q7K1Y4
HPS	Q7K3N1
CG33506	A1Z9W2
Pcf11	C0P8M6
CG10249	Q7KMM8
CG10253	Q9V778
Lap1	Q9V780
aPKC	A1Z9X0
CG12424	Q7JQG5
pcs	Q9V785
CG7639	Q9V784
CG10265	Q7K2K2
chn	Q7YU81
CG34186	Q6IGE3
CG11807	Q7K490
CG8092	Q95RL2
mRpL41	Q7JZM8
scb	O44386
CG34123	A0A0B4LGJ2
mus210	Q24595
CG8155	Q5BI03
Arf51F	P40946
SRPK	M9PDA8
CG8180	Q7K3C2
GalNAc-T1	Q6WV20
Khc-73	A0A0B4LGK5
CG8187	Q7K1W5
Vha36	Q9V7D2
eIF2B-gamma	Q8MSR4
CG12963	A1A6R6
Flo	O61491
Cdk5	P48609
CG8204	A1ZA28
fus	Q9BJZ5
CG8207	Q8SXU3
Vha14	Q24583
Ranbp11	Q7K0Q2
Zasp	A1ZA47
tun	Q7K2Y9
Gpo-1	Q7K569
CG33464	A0A0B4KES0
sli	P24014
CG8291	Q0E961
Iap2	Q24307
CG8297	Q7JXE1
Mlf	Q9NKV0
Strn-Mlck	Q8MYR8
CG8366	Q8SXR5
CG8314	Q7K3T4
CG8315	Q7JZE1
ATPCL	Q7KN85
CG8370	Q9V7H4
CG8386	Q7K1Z5
CG8389	Q0E960
CG8388	Q4V5A5
l(2)05070	A0AQH0
CG8397	A1ZA83
CG8399	Q8MSU3
casp	Q7JUP3
CG8405	Q7K4L9
Dg	Q8STB9
mRpL34	Q0E959
Rho1	P48148
Ric	Q7JMZ0
Asph	Q7KHE2
spin	Q9GQQ0
Got1	Q7K221
CG30094	Q7JR99
Aats-cys	Q7KN90
CG10731	A1ZAA9
lbk	A1ZAB1
CG8435	Q7JVH0
Lis-1	Q7KNS3
CG8443	A1ZAB5
CG8446	B7YZH7
mrj	Q7JUZ6
CG15706	Q8MRB2
fidipidine	A1ZAC7
Khc	P17210
CG42372	B7YZH8
Atg9	Q7JQL5
Vha44	Q9V7N5
Hmgs	Q7K4Q9
CG7997	Q7K127
Nup62	Q7JXF5
RpS15	A1ZAH8
CG8317	Q6NPB2
RpLP2	P05389
CG8311	A1ZAI1
CG8306	Q960W6
CG5065	A1ZAI5
Picot	Q9V7S5
CG30463	Q8MRC9
Chit	A0A0B4LFJ1
unc-104	A1ZAJ2
Sod2	Q00637
CG5522	Q0E949
Dek	Q8IFW6
Psi	A1ZAK7
Ef1beta	O96827
CG6426	Q7JYZ0
CG34191	A8DYH2
veg	Q9VMV5
CG6665	A1ZAM0
CG9000	Q7K172
NiPp1	Q9V7W9
CG6805	Q7K161
CG15609	A1ZAN2
CG8963	Q7K581
Ark	Q7KLI1
RhoGEF2	A1ZAN6
CG9640	Q5U179
CG9646	A1ZAP1
fat-spondin	Q7KN04
CG30460	Q8MRK6
Sply	Q9V7Y2
GstS1	P20432
CG11395	Q7K533
mbl	O16011
Sip1	Q7K5M6
CG6568	Q8MRA9
ProsMA5	Q95083
cnk	Q7KNQ9
l(2)k01209	A1ZAS3
CG4802	Q9V813
Bap55	Q7K012
EDTP	Q9NDR1
robl	Q7KMS3
CG14478	Q6NR30
CG4853	A1ZAU6
CG11419	Q9V831
ssp4	A1ZAU8
eIF3-S9	Q0E940
cyp33	Q9V3G3
RpL18A	P41093
MESR4	A1ZAV3
CG14480	Q7JWU9
Ngp	Q7JXU4
CG14482	Q500Y7
CG42239	B7YZJ3
Rab4	Q7KY04
Dcr-2	A1ZAW0
CG14483	Q4QPR8
icln	A1ZAW5
lack	Q9V853
eIF3-S8	A1ZAX1
CG30108	A1ZAX2
CG30109	Q6NLJ9
CG6459	Q7JXC4
Sema-1b	Q7KK54
CG4966	A1ZAX6
rdgBbeta	Q9U9P7
CG6424	Q0E938
CG6410	Q7JR96
CG6406	Q7K1C5
CG4996	A1ZAY8
CG5009	Q7KML2
CG6370	Q7K110
fab1	O96838
CG5033	Q7K0Y1
CG5036	Q8T017
grh	P13002
olf186-F	Q9U6B8
Mapmodulin	Q9V895
CG5773	A1ZB19
CG5098	Q6AWG9
stau	P25159
Spn6	Q7JV69
Hsf	P22813
Pcl	Q24459
pAbp	P21187
CG17680	Q7JX57
adp	Q7K7W5
lolal	Q7KRI2
CG10915	Q8SX68
Nup75	A1YK02
MED9	A1ZB42
Dgp-1	Q0E931
CG10916	Q7K1R6
CG5726	Q7JRH5
CG5721	Q7K486
sbb	Q9N693
GstE1	Q7KK90
GstE3	A1ZB68
GstE7	A1ZB72
GstE8	A1ZB73
imd	Q7K4Z4
Dp1	Q7KN75
CG5174	A1ZB80
CG12263	A1ZB84
CG30118	Q7K556
slim	A1ZB86
CG5189	Q9V8I2
Gbp	A1ZAQ9
CG5190	Q7JUX9
CG5224	Q7JVZ8
CG10924	Q7JXB5
Pepck	P20007
CG30115	B3DN64
mRpS28	Q9VZX6
CG5323	Q7JVK8
Eip55E	Q7JXZ2
CG5482	Q7K3D4
CG30122	A8E6M1
SP2637	Q7KIS4
Gint3	Q7K0S5
CG15072	A1ZBC4
CG18604	A1ZBC4
CG15073	A1ZBC5
CG15087	Q8MSY4
CG42351	B7YZK4
CG15093	Q9V8M5
CG15094	A1ZBD9
l(2)08717	Q8MRP7
l(2)03709	Q0E924
CG15098	Q4QQB9
CG15083	Q7JYX3
CG15099	A1ZBE8
CG15100	Q8MRS4
Jheh1	A1ZA98
Jheh2	C8AXZ6
sano	Q6NLM8
prod	Q9VWY6
Topors	Q9V8P9
CG15118	Q7K4M9
CG15111	A1ZBH3
ena	Q8T4F7
CG10737	Q0E919
CG7097	A1ZBH8
CG7137	Q7K2B0
cora	Q9V8R9
wbl	O44342
CG11906	Q8SXZ6
FK506-bp2	P48375
mip40	Q7K159
Tab2	Q6NQZ7
CG7461	A1ZBJ2
endoB	Q8SYD9
CG11961	Q8IH56
CG9416	Q8MT48
Scs-fp	Q94523
cer	A1ZBK7
hts	Q02645
CalpA	Q11002
Fak56D	Q0E917
Spt5	Q9V460
RpL11	P46222
Elongin-C	Q7JWD6
betaTub56D	Q24560
par-1	Q8MQR8
CG11242	A1ZBM2
Rep	Q9V8W3
hpo	Q8T0S6
CG11007	Q7JW12
sm	A1ZBN3
hrg	Q9N6D7
isopeptidase-T-3	Q86LF0
Obp56a	Q9V8Y2
18w	Q24591
CG11208	Q7K3B7
Ate1	O96539
CG11055	Q7JR83
mus209	P17917
RpS18	P41094
CG8920	Q7KN83
CG13868	A1ZBT2
MED8	A1ZBT5
CG8929	A1ZBT6
Cpr57A	Q7K5J8
Mgat1	Q60GL7
l(2)05510	Q7K3W4
Nnf1a	Q7JZC9
bl	A1ZBW0
Hil	Q0E908
CG9945	Q7JYQ4
maf-S	Q4QPP9
CG11110	Q4QQ12
DMAP1	Q7K3D8
Fem-1	A1ZBY1
CG30152	Q9V968
sktl	Q9W2R3
Act57B	P53501
CG9344	Q9W2P5
Pros29	P18053
CG10543	Q9W2N8
CG30291	Q95SK3
grau	Q9U405
CG3295	Q9W2N5
CG30296	Q9W2N4
CG9350	Q7JYH3
shg	Q24298
cpa	Q9W2N0
CG15653	Q9W2M9
mRpL54	Q9W2M8
CG10527	Q9W2M4
Treh	Q9W2M2
CG4030	Q9W2M0
CG4038	Q7KVQ0
CG4050	Q7K4B6
mago	P49028
Xbp1	Q5BI44
CG30389	Q961P6
CG4266	A2VEJ9
CG9437	C0MK19
CG4279	Q9W2K2
Pu	P48596
tud	P25823
Glycogenin	Q9W2J6
CG18375	Q9W2J2
CG10069	Q8MLW5
CG30392	Q8MLW4
CG30390	Q9W2I4
RpL29	Q24154
CG30387	A0A0B4LH32
dom	Q9NDJ2
cv-2	Q9W2H2
CG10795	Q9W2H1
Acox57D-p	Q9W2G9
Sdc	Q9GQF1
Sara	Q7K9H6
Fkbp13	Q9V3V2
MESK2	Q9GU50
Egfr	P04412
CG18870	Q9I7V5
clt	Q9W2F4
PTP-ER	Q9W2F3
CG10080	Q9W2F2
CG10321	B4YX57
CG10082	Q961X0
CG10320	Q9W2E8
Rae1	Q9W2E7
CG9865	Q9W2E4
NC2alpha	Q9GSP1
CG10306	Q9W2D9
Tim10	Q9W2D6
CG30290	Q8MKK3
HmgZ	Q06943
HmgD	Q05783
Tango11	Q961C9
CG9304	Q9W2B3
CG42257	A0A0B4LGA2
CG11474	Q9W299
CG2921	Q9W298
GlcT-1	Q9W297
synj	Q5U0V7
CG6613	Q9W293
Vrp1	Q0E8Y8
GM130	Q9W289
NtR	Q9W288
a	E1JIM9
CG6758	Q9W281
CG11275	Q9W279
CG5625	Q9W277
CG3074	Q7JWQ7
ari-2	O76924
Oatp58Dc	Q9W269
wdp	Q9W266
Gp150	Q24007
Rtf1	Q9W261
CG13506	Q9W259
CG3624	Q9W258
qkr58E-3	O44434
qkr58E-1	Q9W255
qkr58E-2	Q9W254
mRpS29	Q9W253
CG4610	Q9W245
px	A0A6M3Q8H4
Dnr1	Q8SWW8
CG4294	Q9W238
RpS16	Q9W237
Vps20	Q9W236
Cdk9	O17432
bonsai	Q8WTC1
CG3732	Q9W230
RpS24	Q9W229
CG2852	Q9W227
CG13510	Q9W221
CG13512	A8DYM6
CG12190	Q9W215
robo	Q9VQ08
jbug	Q8MME5
blw	P35381
CycB	P20439
CG13531	Q9W1Y8
RpL23	P48159
CG3501	Q9W1Y1
CG3499	F3YDF1
asrij	Q9W1X9
Gmer	Q9W1X8
CG3700	Q9W1X6
nahoda	Q9W1X5
Nup214	Q9W1X4
CG30193	Q7JRH2
CG30190	Q7JRH2
CG3800	Q8T8R1
CG9849	Q9W1W9
l(2)06496	Q9W1V8
CG9890	Q9W1V7
l(2)k09913	Q7K274
Fib	Q9W1V3
CG30410	Q8MLS2
CG3500	Q9W1R8
CG34424	Q8MLS1
CG3493	Q9W1R3
CG13551	Q0E8X8
CG30415	Q0E8X7
eIF2B-delta	Q9W1Q8
CG3530	Q8MLR7
chrw	Q9V3C2
CG30185	Q8MKK1
wmd	Q9W1N4
levy	Q9W1N3
pita	Q95RQ8
Rrp4	Q9W1M9
Pi3K59F	Q9W1M7
apt	O61602
CG4019	D1Z394
Pde8	Q6NNF2
l(2)efl	P82147
Pal	Q9W1L5
angel	Q24239
mRpL43	Q9W1L1
CG4091	Q7KVH9
l(2)tid	D3DN23
CG11299	Q9W1K5
egl	Q9W1K4
CG5532	Q9W1K0
Ssrp	Q05344
Nxt1	Q9V3H8
usnp	Q9W1I8
CG5554	Q9W1I7
ytr	Q9W1I6
eIF6	P56538
gbb	P27091
wibg	P82804
TBPH	O97468
CG4585	O77475
CG5569	Q9W1H9
Thiolase	O77466
ken	O77459
CG4882	O77477
CG5597	Q9W1H6
Dcp1	Q9W1H5
Upf3	Q9W1H3
CG5339	Q9W1H1
CG5591	Q9W1H0
Nap1	Q9W1G7
CG5594	Q8MKK5
CG2812	Q6NP36
Ca-P60A	P22700
Tal	Q9W1G0
G-salpha60A	P20354
CG2970	Q9W1F7
CG3803	Q9W1F5
thoc5	Q9W1F4
CG16787	Q9W1F2
Alas	O18680
or	Q9W1E8
CG10904	Q9W1E7
CG3065	Q2MGN0
mr	Q9W1E5
CG3825	Q9W1E4
Phm	O01404
CG3860	Q9W1D9
CG3907	Q6IDE2
CG11388	Q9W1D1
Adk2	Q9U915
PebIII	Q9W1C9
SIP1	Q8MLQ0
CG3163	Q9W1C8
CG30172	Q8MLP9
Chi	Q7KVG9
MAN1	Q7JRE4
CG13567	Q9W1C6
CG3173	Q9W1C5
tsr	P09775
gammaSnap	Q9U6R9
eIF-5A	Q9GU68
RpL12	Q9W1B9
RpL39	O16130
Rap2l	O96692
yki	Q45VV3
CG3209	Q9W1B5
Mlp60A	P53777
snama	Q9XZ21
gek	Q9W1B0
enok	Q9W1A9
tamo	Q9W1A4
Zfrp8	Q9W1A3
CG4065	Q9W1A2
Dat	Q94521
DnaJ-60	P92029
spag	Q9V3E9
CG3328	Q9W1A0
mRpS17	Q9W199
Nop60B	O44081
CG3362	Q9W197
CG3356	Q9W196
CG3376	Q8IQD3
CG3394	Q8SXR7
betaTub60D	P08841
slik	Q59E61
Mov34	P26270
CG4589	P91927
CG4612	Q9W158
CG13585	Q0E8W6
CG4622	Q2PE14
itp	Q9W151
Nurf-38	O77460
CG11414	S0F294
CG12252	Q9W147
Start1	Q9W145
pio	Q8IRK0
CG4692	Q9W141
CG3570	Q9W138
CG4707	Q9W137
CG42360	Q9W135
Cyp9c1	Q9W130
CG3663	Q9W127
CG3683	Q9W125
Pof	Q9W123
CG30421	Q9W117
CG12848	Q9W114
CG16936	Q9XYZ9
Eps-15	E3CTP7
egg	Q32KD2
CG16912	Q9W107
CG3589	Q9W106
key	Q9GYV5
Reg-5	Q94913
Atf-2	Q9W0Z5
CG30423	Q8MMD0
CG34413	A6MHQ4
RpL41	Q962S2
CG3760	Q8MMC4
CG2811	Q9W0Y2
Tina-1	Q9W0Y1
CG2790	Q9W0X8
CG2765	Q9W0X5
CG30424	A8DYP7
RpL19	P36241
Jhebp29	Q9W0X3
Phk-3	Q9W0X2
emp	Q7KVF1
CG3829	Q961K6
zip	Q99323
uzip	P10379
gol	Q06003
CG9380	Q0E8V8
CG40191	Q7PLT1
Yeti	Q8SXI2
CG40263	Q7PLD0
CG41378	A0A0C4DHM7
eIF-4B	Q7PLL3
Pk61C	Q9W0V1
p130CAS	A4IJ58
CG7049	Q9W0U6
CG7047	Q0E8K8
Mkp	Q9NGL1
Mtch	Q9V3Y4
mri	Q0E8K5
Gyk	Q9W0U0
NitFhit	O76464
CG13876	Q9W0T9
CG7028	Q9Y145
thoc7	Q8IRJ8
CG16940	Q9W0T7
Kaz1-ORFB	Q7KYD6
CG16971	Q95RM0
CG33229	Q95RM0
E(bx)	Q9W0T1
DIP2	Q9W0S9
CG13879	Q9W0S8
Tudor-SN	Q9W0S7
mRpL17	Q9W0S6
miple	Q9W0S5
miple2	Q9W0S4
RhoGEF3	E1JHV3
fwd	Q9W0R8
Ptpmeg	Q9W0R3
CG6905	Q9W0R0
Roc1b	Q9NHX0
CG1233	Q9I7U7
klar	Q9Y0E4
CG17180	Q9W0Q3
Cypl	Q9W0Q2
CG17090	Q9W0Q1
MED14	Q9W0P8
CG13893	Q8SYC4
Reg-2	Q94915
CG12030	Q9W0P5
MED30	Q9W0P3
CG3371	Q9W0N9
emc	P18491
CG13900	Q9W0M7
CG13886	E1JHX0
CG13901	Q9W0M5
CG13887	B9EQV3
CG13902	Q9W0M3
CG13890	Q9W0M0
CG32479	Q9W0L7
Glut1	Q8IRI6
trio	Q7KVD1
CG9205	Q9W0K9
bab2	Q9W0K4
CG9119	Q9W0J9
Sac1	Q9W0I6
CG9139	Q9W0H9
scf	I1V500
Rac1	P40792
CG9149	Q9W0H6
CG2277	Q961B3
CG2469	Q7K0X3
CG9186	Q9W0H3
CG9153	Q9W0H2
Myo61F	Q23979
mtacp1	Q94519
l(3)02640	Q9W0G4
Ptp61F	Q9W0G1
312	Q9W0F9
CG12084	Q9W0E8
pUf68	Q8T6B9
Psa	Q8IRH1
cue	Q95RU0
CG12090	Q9W0E3
CG12091	Q9W0E2
CG7852	Q9W0E1
Cct1	Q7K4C7
CG12099	Q9W0D8
CG7864	Q9W0D7
CG12004	A1A714
CG13917	Q9W0D3
CG12104	Q9W0D2
CG13926	Q9W0C7
CG33230	Q7KVB0
CG7955	Q7KVB1
CG13928	Q9W0C3
metl	Q86BS6
Bgb	Q24040
alphaCop	Q9W0B8
CG13919	Q9W0B7
CG13920	Q8T0T9
CG7967	Q9W0B3
CG7970	Q9W0B2
CG7971	Q86BP9
CG7974	Q9W0A9
RpL23A	Q9W0A8
drpr	Q9W0A0
CG7995	Q9W095
CG8001	Q9W091
CG13933	Q9W089
CG2021	Q9W087
mRpL46	Q9W086
alpha-Spec	P13395
Cdc37	Q24276
Patj	Q9NB04
JTBR	O96067
CG13923	Q9W081
GV1	Q8SXW3
CG12024	Q8SZU6
R	P08645
HBS1	Q9W074
CG12025	Q9W073
dre4	Q8IRG6
Aprt	P12426
CG1017	Q9W062
CG11814	Q9W060
CG1140	Q9W058
CG1927	Q9Y107
sls	O46072
zormin	Q7Z1Y4
CG9018	Q8SX50
CG1275	Q9I7U2
CG2034	Q24050
oxt	Q7KVA1
CG13807	Q9W033
ecd	Q9W032
CG1317	Q9W023
CG8993	Q9W022
mRpL23	Q9W021
CG13800	E1JIB9
CG32306	E1JIB9
CG33231	E1JIB9
CG33232	E1JIB9
CG16758	Q7KV94
Spn	M9NEY3
msn	Q7KV90
RpL8	Q9V3G1
dos	Q9VZZ9
CG16985	Q9VZZ6
CG16986	Q9VZZ5
Pxn	Q9VZZ4
Mrtf	Q9VZY2
CG1240	Q9VZY0
CG9977	Q9VZX9
CG12093	Q9VZX8
Atg2	Q9VZX7
mRpS35	Q9VZX6
pgant6	M9PBK1
CG2083	M9NEY8
CG2107	Q9VZW7
CG2162	Q8MRH9
Jafrac2	Q9VA18
scramb2	Q9VZW1
Sk2	Q8I941
CG32485	Q8I941
CG1271	Q9VZV9
CG32486	Q9VZV5
CG11486	Q95RR8
prominin-like	P82295
CG11537	Q9VZU9
CG1291	Q9VZU8
CG12082	Q9VZU7
BtbVII	Q960S0
CG14956	Q960S0
CG12079	Q9VZU4
pfk	Q9VZU3
CG32280	Q8IRE5
CG32278	Q9VZU0
CG12734	Q8SX64
Hsp83	P02828
CG14966	Q9VZT2
CG32276	Q8SYY6
gry	Q960U6
CG14967	Q9VZS7
CG12034	Q9VZS6
RpL28	Q9VZS5
CG17737	Q9VZS3
CG11505	Q9I7T7
CG17746	Q9VZS1
CG14968	Q9VZR5
ZnT63C	Q7K3K5
CG12016	Q9VZR0
CG11526	Q8IRD5
PHGPx	Q9VZQ8
CG14969	Q95SH7
kst	Q7KV70
CG12012	Q1ECB1
sty	Q00805
eIF5B	Q9VZP5
CG14971	Q9VZP2
CG32267	Q8IRD0
CG42324	M9PE63
Eip63E	Q7KM04
CG32264	Q9VZM9
CG10855	Q8SX86
CG32262	Q9VZM6
CG12006	Q9VZM5
Scsalpha	Q94522
enc	Q8MSX1
CG14977	Q9VZL6
CG14980	Q9VZL5
Ubi-p63E	P0CG69
Sc2	Q9VZL3
mge	Q9I7T5
CG10866	Q9VZK9
CG10863	Q9Y112
CG1134	Q9VZJ9
CG11594	Q9VZJ8
CG11593	Q9VZJ4
CG1135	Q9VZJ3
wit	Q9VZI9
CG14989	A8WHD3
CG14995	Q8I0Q7
Fit1	Q9VZI3
Ack	Q9VZI2
Chd64	Q9VZI1
CG14998	Q8IRC0
RfC40	P53034
Rop	Q07327
Ras64B	P04388
Ero1L	Q9V3A6
VhaM9.7-1	Q9VZG7
CG1332	M9NE09
ImpL2	Q09024
CG14997	Q9VZF6
ago	Q9VZF4
CG1265	Q9VZF3
CG15011	Q9VZF2
CG1309	Q9VZF1
CG11586	Q9VZF0
CG1268	Q9VZE9
CG1311	Q9VZE7
CG11583	Q9VZE6
CG1316	Q9VZE4
TfIIEbeta	O96881
Hexo1	Q8IRB6
CG15012	Q9VZE2
CG1319	Q8SZA8
CG32250	Q9VZD9
CG15014	Q9VZD8
Cip4	Q9VZD7
mRpS6	Q9VZD5
Syx17	Q9VZC9
CG15019	Q9VZC8
CG11347	Q9VZC7
CG11357	Q9VZA6
Src64B	P00528
Rpd3	Q94517
Dhc64C	P37276
Aats-leu	Q9VZ82
CG13704	Q8SXS4
CG4603	Q9VRJ9
CG10674	Q9VRJ8
CG10673	Q9VRJ6
CG4618	Q9VRJ5
CG10672	Q9VRJ4
CG10671	Q9VRJ2
Aats-ala-m	Q9VRJ1
Srp54k	Q9VL71
shep	Q8MSV2
lama	Q9VRK8
Klp64D	Q9VRK9
CG4769	Q9VRL0
Uev1A	Q9VRL1
CG4780	Q9VRL2
CG10635	Q9VRL3
sinu	Q9VRM3
Sucb	Q9V470
bc10	Q9V3L0
Msr-110	Q9VRM5
CG10590	Q9VRN1
Eaf6	Q9VRN3
DnaJ-1	Q24133
Ubp64E	Q24574
CG10576	Q9VRP2
Txl	Q9VRP3
CG10575	Q9VRP4
Usp36	Q9VRP5
Bre1	Q9VRP9
S6k	H1ZYE3
CG5537	Q9VRQ1
CG32409	A0APC8
CG32412	Q9VRQ9
CG33523	Q9VRR4
Bj1	P25171
tan	Q8T0D4
CG6610	Q9VRT7
loj	Q9VRU2
CG10289	Q9VRV1
D19B	Q9VRV4
D19A	Q9VRV5
CG13298	Q9VRV7
Trn	Q9VU51
ImpL3	Q95028
CG10144	Q9VRX2
sfl	Q9V3L1
CG18769	Q8IQ70
CG8368	Q9VRX7
CG8398	A4V1K1
SP1173	Q0E8H7
CG32394	Q9VRY3
CG10107	Q9VRY4
CG8549	Q9VRY5
CG10103	Q9VRY6
vvl	P16241
Prat2	Q967S0
CG10077	Q8MZI3
CG10075	Q9VRZ7
Surf1	Q9U4F3
sgl	O02373
CG9953	Q8SZM1
G-ialpha65A	P20353
msl-3	P50536
Dbi	P42281
corn	Q8IQ73
CG8616	Q9VS33
RpL18	Q9VS34
Neos	Q9U9Q2
mRpL50	Q9V3E3
Cdc27	Q9VS37
MED4	Q9VS38
CG14830	Q9VS39
CG8605	Q9VS46
CG8602	Q9VS47
CG42307	B7Z0C9
CG8600	Q9VS49
eco	Q9VS50
lark	Q94901
CG8596	Q9VS51
Srp19	P49963
qm	Q9VS54
CTCF	Q9VS55
pst	Q8IQ80
sec63	Q9VS57
Sh3beta	Q9NFP5
akirin	Q9VS59
SMSr	Q9VS60
smid	Q7KU82
Rac2	P48554
CG7546	Q9VS83
CG32372	Q9VS84
lqf	Q9VS85
CG33275	Q7KU87
