AAMP	Q13685
PNKD	Q8N490
SEM1	P60896
PTPN12	Q05209
DGCR6L	Q9BY27
SGSM3	Q96HU1
EMC4	Q5J8M3
ATP6V1F	Q16864
DNAJB9	Q9UBS3
MTX2	O75431
SERF2	P84101
FXR2	P51116
BCL2L2	Q92843
EAPP	Q56P03
PIP4P1	Q86T03
NEDD8	Q15843
DAD1	P61803
MAPK8IP3	Q9UPT6
LMAN1	P49257
DHX40	Q8IX18
KHNYN	O15037
TUBG1	P23258
RPS16	P62249
ESYT2	A0FGR8
DHX29	Q7Z478
RAF1	P04049
TRPC4AP	Q8TEL6
NDUFA2	O43678
ELOF1	P60002
SAFB2	Q14151
MRPL34	Q9BQ48
PGLS	O95336
ACTN4	O43707
LSM4	Q9Y4Z0
ADRM1	Q16186
UBE2M	P61081
TRIM28	Q13263
EIF2S3	P41091
EIF3G	O75821
PPIL4	Q8WUA2
ATP6V1E1	P36543
COX4I1	P13073
EMC8	O43402
MRPS25	P82663
RBSN	Q9H1K0
NR1H2	P55055
RPL27	P61353
VPS25	Q9BRG1
DCAF15	Q66K64
SMARCC1	Q92922
TIMM10B	Q9Y5J6
ILKAP	Q9H0C8
RPA1	P27694
EEFSEC	P57772
UTP3	Q9NQZ2
WBP2	Q969T9
H3F3B	P84243
ZRANB2	O95218
ERAL1	O75616
OSER1	Q9NX31
USPL1	Q5W0Q7
BTBD2	Q9BX70
CSNK1G2	P78368
MED10	Q9BTT4
MKRN1	Q9UHC7
BTG1	P62324
IPO8	O15397
SARAF	Q96BY9
EIF2S1	P05198
MBD2	Q9UBB5
IER3IP1	Q9Y5U9
MRPS36	P82909
ARL8B	Q9NVJ2
EMC7	Q9NPA0
ARF3	P61204
SLC38A2	Q96QD8
NARS	O43776
RTL8C	O15255
PRPF38A	Q8NAV1
TIMM10	P62072
TMEM60	Q9H2L4
AKIRIN2	Q53H80
NAT10	Q9H0A0
CD63	P08962
CDK4	P11802
OS9	Q13438
PRADC1	Q9BSG0
MRPL53	Q96EL3
DYNC1LI2	O43237
MRPL44	Q9H9J2
CAB39	Q9Y376
COX5B	P10606
TMEM127	O75204
MRPS9	P82933
MED4	Q9NPJ6
NUDT15	Q9NV35
KDELR2	P33947
CALCOCO2	Q13137
RSAD1	Q9HA92
NMT1	P30419
VEZF1	Q14119
MARCH7	Q9H992
TOR1B	O14657
PSMB7	Q99436
DERL1	Q9BUN8
DCTN3	O75935
HINT2	Q9BX68
FAM8A1	Q9UBU6
THAP12	O43422
MRPL15	Q9P015
SDCBP	O00560
BUD13	Q9BRD0
FDX1	P10109
RPLP1	P05386
RSL24D1	Q9UHA3
ACTR2	P61160
PREB	Q9HCU5
LRPPRC	P42704
DNAJC13	O75165
ASNSD1	Q9NWL6
SSB	P05455
COX17	Q14061
WBP11	Q9Y2W2
NAP1L1	P55209
PSMC1	P62191
PEBP1	P30086
YPEL5	P62699
NUP133	Q8WUM0
UBE2K	P61086
PPP2R5A	Q15172
PSMA6	P60900
USP22	Q9UPT9
IPO5	O00410
USP14	P54578
ARL1	P40616
BFAR	Q9NZS9
KPNA3	O00505
SFSWAP	Q12872
CDK2AP1	O14519
RTRAF	Q9Y224
PSMD11	O00231
TAOK1	Q7L7X3
BTBD1	Q9H0C5
ERP29	P30040
AARS	P49588
NDST1	P52848
